epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/offset_gain_eff,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/offset_gain_eff,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4989822506904602,5.326365947723389,0.05912979692220688,0.5010177493095398,1.8704885244369507,18.31232452392578,0.039255984127521515,0.27641561627388,0.5,1.4849873781204224,1.4664263725280762,1.1219791173934937,0.9366849064826965,1.0548771619796753,0.7155718803405762,4.310708045959473,0.013224469497799873,0.2844281494617462,1.2526146173477173,12.235116004943848,0.029103048145771027,0.18616774678230286,0.5,0.9969135522842407,1.4791600704193115,1.4517275094985962,1.267404317855835,0.9376667141914368,1.2158887386322021,0.5496231913566589,0.7155718803405762,23.25572395324707
1,371,0.8276500105857849,3.6309707164764404,0.005787660367786884,0.1723499447107315,0.9485371112823486,9.28772258758545,0.019764767959713936,0.08437944948673248,0.5,1.4879447221755981,1.4464905261993408,1.4282797574996948,1.0190068483352661,1.4062254428863525,0.8478854298591614,3.489544153213501,0.005993850529193878,0.15211451053619385,0.9139089584350586,8.990852355957031,0.01482369378209114,0.10880283266305923,0.5,0.9969135522842407,1.495253086090088,1.4352517127990723,1.5982880592346191,1.0916252136230469,1.587871789932251,0.6618555188179016,0.8478854298591614,16.122577667236328
2,557,0.8794293999671936,3.1391358375549316,0.0035907216370105743,0.1205706000328064,0.7729364037513733,7.6297173500061035,0.009964721277356148,0.067215695977211,0.5,1.4919625520706177,1.429734468460083,1.784375786781311,1.157575011253357,1.7605351209640503,0.8360792994499207,3.3489081859588623,0.004544171504676342,0.16392070055007935,0.8883993029594421,8.81230640411377,0.007168597541749477,0.10482356697320938,0.5,0.9969135522842407,1.4999768733978271,1.4214693307876587,1.9684815406799316,1.206898808479309,1.9159897565841675,0.6585232615470886,0.8360792994499207,15.497895240783691
3,743,0.889518141746521,2.9353272914886475,0.003180996747687459,0.11048183590173721,0.7238768935203552,7.183877468109131,0.005489157047122717,0.06212764233350754,0.5,1.4558043479919434,1.4166234731674194,2.1526896953582764,1.228163242340088,2.0320069789886475,0.859836220741272,2.9628093242645264,0.0040683564729988575,0.1401638239622116,0.7245829701423645,7.194737911224365,0.005109118763357401,0.06502672284841537,0.5,0.9969135522842407,1.462636947631836,1.4182894229888916,2.3465187549591064,1.257389783859253,2.148608684539795,0.6967576742172241,0.859836220741272,12.117050170898438
4,929,0.8977877497673035,2.771530866622925,0.003029945772141218,0.10221225023269653,0.67220538854599,6.689139366149902,0.003291346598416567,0.058388855308294296,0.5,1.4712380170822144,1.4212826490402222,2.553318738937378,1.2777801752090454,2.2423038482666016,0.8779897093772888,2.93660044670105,0.004041426815092564,0.12201028317213058,0.7572382688522339,7.544856548309326,0.0027526344638317823,0.08050647377967834,0.5,0.9969135522842407,1.4786845445632935,1.4238992929458618,2.7619426250457764,1.2841297388076782,2.3228530883789062,0.6996262669563293,0.8779897093772888,13.14380168914795
5,1115,0.9027611613273621,2.6555604934692383,0.0028808950446546078,0.09723886847496033,0.6382647156715393,6.362853527069092,0.0019793533720076084,0.05510454624891281,0.5,1.48616623878479,1.4259344339370728,2.9849236011505127,1.307234764099121,2.38791823387146,0.8695924878120422,2.864190101623535,0.003937283530831337,0.13040752708911896,0.7131848335266113,7.115498065948486,0.001635011867620051,0.07982132583856583,0.5,0.9969135522842407,1.4929577112197876,1.4281823635101318,3.2133822441101074,1.3301663398742676,2.4465463161468506,0.7048757672309875,0.8695924878120422,11.843564987182617
6,1301,0.9056696891784668,2.5788156986236572,0.0027979945298284292,0.09433040767908096,0.6197530031204224,6.184548854827881,0.0012981626205146313,0.05304751917719841,0.5,1.4940086603164673,1.4263699054718018,3.4474434852600098,1.3384090662002563,2.485642433166504,0.8642880320549011,3.0511691570281982,0.0038109389133751392,0.13571198284626007,0.8952259421348572,8.941329956054688,0.001093020080588758,0.074330635368824,0.5,0.9969135522842407,1.4952402114868164,1.4225801229476929,3.6812236309051514,1.3378158807754517,2.512244701385498,0.6712377667427063,0.8642880320549011,16.201173782348633
7,1487,0.9081994891166687,2.529500961303711,0.0027081824373453856,0.09180046617984772,0.6128355264663696,6.117831230163574,0.0010524054523557425,0.05165797472000122,0.5,1.4672865867614746,1.410297155380249,3.9064078330993652,1.3421474695205688,2.544692277908325,0.8797227144241333,2.767718553543091,0.0038344007916748524,0.1202773004770279,0.7417873740196228,7.409121990203857,0.0008752261055633426,0.05999269708991051,0.5,0.9969135522842407,1.4421449899673462,1.3941296339035034,4.143980503082275,1.3497673273086548,2.5592401027679443,0.703376054763794,0.8797227144241333,12.786511421203613
8,1673,0.9099384546279907,2.4854323863983154,0.0026558837853372097,0.09006159752607346,0.6039485931396484,6.031740665435791,0.0007744370377622545,0.05003166198730469,0.5,1.4409196376800537,1.3950562477111816,4.385838508605957,1.3599281311035156,2.582756996154785,0.8839138746261597,2.8126888275146484,0.0037474180571734905,0.11608616262674332,0.8021281957626343,8.015069007873535,0.0006213256274349988,0.061136022210121155,0.5,0.9969135522842407,1.4393588304519653,1.396213173866272,4.639766216278076,1.3522173166275024,2.5960001945495605,0.6983768343925476,0.8839138746261597,13.805481910705566
9,1859,0.9126657247543335,2.4281461238861084,0.0026477710343897343,0.0873342752456665,0.5829352736473083,5.823072910308838,0.0006280284142121673,0.04861082509160042,0.5,1.4369122982025146,1.3980135917663574,4.90957498550415,1.3686895370483398,2.6221494674682617,0.8772391676902771,2.7840113639831543,0.003729054471477866,0.12276085466146469,0.7466061115264893,7.459982872009277,0.0006077763391658664,0.07506532222032547,0.5,0.9969135522842407,1.4344135522842407,1.3995423316955566,5.186234474182129,1.3723481893539429,2.6219303607940674,0.7020686864852905,0.8772391676902771,12.762819290161133
