Variant,Model,Dice,IoU,SurfaceDice@4mm,MeanErrPx,MedianErrPx,PCK@10,FPS
Full (v4),boundary_aware_manet_v4,0.9065487760585623,0.834067812509481,0.8374395606306315,10.302862404465431,8.168893230458867,59.876543209876544,62.58183223906798
No Pos Attn,boundary_aware_manet_v4,0.9102641478775101,0.8379738884072512,0.8304684643986285,11.287885313865079,9.509508981894053,52.9835390946502,68.74874757168945
No Coord Attn,boundary_aware_manet_v4,0.9021381151096919,0.8269511814040084,0.8273604236555069,10.618021511659558,8.470913311335671,57.407407407407405,66.88847482146926
No Bnd Loss,boundary_aware_manet_v4,0.9071649574894101,0.8346146383469903,0.8327009981670921,10.961079844594817,8.816731668755526,54.73251028806584,63.803818847218515
No Fusion,boundary_aware_manet_v4,0.9049324227531421,0.8303046315215217,0.8287613507223163,10.843267537026058,9.00992891590815,55.76131687242798,65.3460570827275
No Bnd Guid,boundary_aware_manet_v4,0.9003865191150701,0.8238977205961859,0.8244997778985128,11.044309078438205,9.205282765212072,53.70370370370371,65.90284478075029
Fixed 8,boundary_aware_manet_v4,0.9115949552573083,0.8412188111970071,0.8396810941129509,10.876333385354574,8.774509198754664,56.68724279835391,66.07720532325514
Sched 4->8,boundary_aware_manet_v4,0.9102050921090911,0.8383517251708202,0.8324413197036837,11.367338221413997,9.45991302966512,53.29218106995884,65.8514006754257
