epoch,step,train/beta_eff,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/offset_gain_eff,train/sigma_eff,train/w_bnd_eff,train/w_pts_eff,val/beta_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/offset_gain_eff,val/pt_vis_count,val/sigma_eff,val/w_bnd_eff,val/w_pts_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,162,4.0,0.36018243432044983,2.3194332122802734,0.08547881990671158,0.6398175954818726,1.5262569189071655,14.798043251037598,0.04645256698131561,0.45006242394447327,0.0,2.0,0.09999999403953552,0.7999999523162842,4.0,0.40268510580062866,1.6272581815719604,0.056200169026851654,0.5973149538040161,0.8299409747123718,7.883544445037842,0.0415864996612072,0.36037036776542664,0.0,0.9969135522842407,2.0,0.10000000149011612,0.800000011920929,0.4096963405609131,0.40268510580062866,13.797444343566895
1,325,5.0,0.4799378514289856,1.3560694456100464,0.03277536854147911,0.5200620889663696,0.6951369643211365,6.631699562072754,0.03196689859032631,0.27662017941474915,0.0,1.9499998092651367,0.09999999403953552,0.7999999523162842,5.0,0.50543212890625,1.3935546875,0.02145451121032238,0.49456787109375,0.8225908279418945,7.971399307250977,0.025450894609093666,0.23876874148845673,0.0,0.9969135522842407,1.9500000476837158,0.10000000149011612,0.800000011920929,0.4718872904777527,0.50543212890625,13.72085189819336
2,488,6.0,0.5760125517845154,1.1091793775558472,0.013081243261694908,0.42398738861083984,0.6197836995124817,6.002310276031494,0.019552603363990784,0.1880568414926529,0.0,1.899999976158142,0.09999999403953552,0.7999999523162842,6.0,0.5819493532180786,1.198789358139038,0.011199690401554108,0.4180505871772766,0.7551343441009521,7.388373851776123,0.016296910122036934,0.17551134526729584,0.0,0.9969135522842407,1.899999976158142,0.10000000149011612,0.800000011920929,0.5269214510917664,0.5819493532180786,12.503283500671387
3,651,7.0,0.6666699051856995,0.9205496311187744,0.007550633046776056,0.33333003520965576,0.5696380138397217,5.575618267059326,0.012076172046363354,0.13075412809848785,0.0,1.8499999046325684,0.09999999403953552,0.7999999523162842,7.0,0.6920361518859863,1.0867269039154053,0.008362807333469391,0.30796390771865845,0.8247531652450562,8.140748023986816,0.010678345337510109,0.11812432110309601,0.0,0.9969135522842407,1.850000023841858,0.10000000149011612,0.800000011920929,0.5810284614562988,0.6920361518859863,14.124466896057129
4,814,8.0,0.7433326244354248,0.788990318775177,0.005574771668761969,0.2566673159599304,0.5469638109207153,5.395879745483398,0.007375807501375675,0.09419451653957367,0.0,1.8000000715255737,0.09999999403953552,0.7999999523162842,8.0,0.7451913356781006,0.997138500213623,0.0061797890812158585,0.2548086941242218,0.7978672981262207,7.916078090667725,0.006259473972022533,0.10341797024011612,0.0,0.9969135522842407,1.7999999523162842,0.10000000149011612,0.800000011920929,0.6162236928939819,0.7451913356781006,13.653398513793945
5,977,9.0,0.7997112274169922,0.6930588483810425,0.004735168535262346,0.2002888023853302,0.5250401496887207,5.199878215789795,0.005052334628999233,0.0722644031047821,0.0,1.75,0.09999999403953552,0.7999999523162842,9.0,0.8009353876113892,0.8758926391601562,0.005891266278922558,0.19906462728977203,0.7389047145843506,7.340670585632324,0.004837696440517902,0.08511511981487274,0.0,0.9969135522842407,1.75,0.10000000149011612,0.800000011920929,0.6604790687561035,0.8009353876113892,12.232366561889648
6,1140,10.0,0.8391082882881165,0.626735270023346,0.0045008109882473946,0.16089162230491638,0.5067095756530762,5.029979228973389,0.0037116005551069975,0.06002595275640488,0.0,1.6999998092651367,0.09999999403953552,0.7999999523162842,10.0,0.827080249786377,0.8536702394485474,0.005587988067418337,0.17291980981826782,0.7484816312789917,7.452132225036621,0.0032684560865163803,0.08140629529953003,0.0,0.9969135522842407,1.7000000476837158,0.10000000149011612,0.800000011920929,0.6735202670097351,0.827080249786377,12.56418228149414
7,1303,11.0,0.8647130131721497,0.5813507437705994,0.004349992144852877,0.13528689742088318,0.49230945110321045,4.896026134490967,0.002706877188757062,0.05178128555417061,0.0,1.6500000953674316,0.09999999403953552,0.7999999523162842,11.0,0.8401813507080078,0.8739528059959412,0.0054414719343185425,0.1598186492919922,0.7839833498001099,7.815695762634277,0.002413762267678976,0.08640333265066147,0.0,0.9969135522842407,1.649999976158142,0.10000000149011612,0.800000011920929,0.6762556433677673,0.8401813507080078,13.235976219177246
8,1466,12.0,0.8835534453392029,0.5447927713394165,0.0042396429926157,0.11644648760557175,0.47789838910102844,4.757015705108643,0.0021968544460833073,0.045603588223457336,0.0,1.5999999046325684,0.09999999403953552,0.7999999523162842,12.0,0.847596287727356,0.8565523624420166,0.0053521753288805485,0.15240371227264404,0.7740955948829651,7.7204813957214355,0.002047467976808548,0.08433695137500763,0.0,0.9969135522842407,1.600000023841858,0.10000000149011612,0.800000011920929,0.6820634007453918,0.847596287727356,13.054007530212402
9,1629,12.0,0.8959726691246033,0.5187880992889404,0.00411073025316,0.10402723401784897,0.465484619140625,4.637190341949463,0.0017655323026701808,0.041962094604969025,0.0,1.5499998331069946,0.09999999403953552,0.7999999523162842,12.0,0.8528400659561157,0.8432539701461792,0.005288985557854176,0.14715996384620667,0.7590070962905884,7.573269844055176,0.0016801091842353344,0.08835933357477188,0.0,0.9969135522842407,1.5499999523162842,0.10000000149011612,0.800000011920929,0.687968909740448,0.8528400659561157,12.69311809539795
