epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4387643337249756,2.2010395526885986,0.05621141567826271,0.5612356662750244,1.4857290983200073,14.486821174621582,0.037046827375888824,0.33482515811920166,3.0,3.0,10.0,0.5,1.0,0.5845866799354553,1.3959225416183472,0.02887509949505329,0.41541337966918945,1.0140045881271362,9.876542091369629,0.02635030820965767,0.18475592136383057,1.0,3.0,3.0,10.0,0.5,1.0,0.4922364056110382,0.5845866799354553,18.271671295166016
1,371,0.7526299953460693,0.8773097991943359,0.016254061833024025,0.24737001955509186,0.738145649433136,7.196353435516357,0.01851029507815838,0.09832634776830673,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.809180498123169,0.7823994159698486,0.01005046907812357,0.19081950187683105,0.823993980884552,8.12675952911377,0.01131795160472393,0.07907821238040924,1.0,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.6504421234130859,0.809180498123169,14.252150535583496
2,557,0.8718204498291016,0.5729897618293762,0.005949718877673149,0.12817953526973724,0.6531703472137451,6.446467399597168,0.008523555472493172,0.05872789025306702,2.9000000953674316,2.9000000953674316,10.0,0.5,1.0,0.863227128982544,0.6207447052001953,0.00537640368565917,0.13677294552326202,0.7115952372550964,7.053533554077148,0.006241840310394764,0.07441014796495438,1.0,2.9000003337860107,2.9000003337860107,10.0,0.5,1.0,0.6996511816978455,0.863227128982544,12.01250171661377
3,743,0.8988962769508362,0.4843538701534271,0.003576728282496333,0.10110381245613098,0.5944066047668457,5.896872043609619,0.004719317425042391,0.05027952045202255,2.8499999046325684,2.8499999046325684,10.0,0.5,1.0,0.8723190426826477,0.5881382822990417,0.0041788662783801556,0.12768100202083588,0.7047465443611145,7.010706424713135,0.0036759257782250643,0.06629530340433121,1.0,2.8499996662139893,2.8499996662139893,10.0,0.5,1.0,0.7053212523460388,0.8723190426826477,11.98650074005127
4,929,0.9087537527084351,0.4632091820240021,0.0029573594219982624,0.09124625474214554,0.5891828536987305,5.860334396362305,0.0031493448186665773,0.04779789596796036,2.799999952316284,2.799999952316284,10.0,0.5,1.0,0.8773264288902283,0.5761067271232605,0.0038884389214217663,0.12267354130744934,0.6972834467887878,6.947542667388916,0.0025292234495282173,0.0659070536494255,1.0,2.8000001907348633,2.8000001907348633,10.0,0.5,1.0,0.7110673189163208,0.8773264288902283,11.660085678100586
5,1115,0.915279746055603,0.43750640749931335,0.0027100518345832825,0.08472027629613876,0.5610424280166626,5.587444305419922,0.002298017730936408,0.04516442120075226,2.75,2.75,10.0,0.5,1.0,0.8918202519416809,0.5465478897094727,0.0036719765048474073,0.10817980766296387,0.691717267036438,6.898947238922119,0.0018225001404061913,0.055789683014154434,1.0,2.75,2.75,10.0,0.5,1.0,0.7205278873443604,0.8918202519416809,11.570816040039062
6,1301,0.9193286895751953,0.42111697793006897,0.0025985639076679945,0.08067134767770767,0.5426010489463806,5.408406734466553,0.0017603879095986485,0.043159496039152145,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.8747022151947021,0.6043605208396912,0.003560924669727683,0.12529779970645905,0.7066553831100464,7.051036357879639,0.0015517446445301175,0.09012579172849655,1.0,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.7086758613586426,0.8747022151947021,11.756327629089355
7,1487,0.9197110533714294,0.42946329712867737,0.0025262299459427595,0.08028899133205414,0.5608370900154114,5.590618133544922,0.0017752527492120862,0.04349343106150627,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.8867150545120239,0.566845715045929,0.003572146175429225,0.11328497529029846,0.7132941484451294,7.112912654876709,0.0020028383005410433,0.06119218096137047,1.0,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.7138699889183044,0.8867150545120239,11.997246742248535
8,1673,0.9248496294021606,0.4041776657104492,0.002450430765748024,0.07515035569667816,0.5274705290794373,5.26096773147583,0.0013737875269725919,0.04078773409128189,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.8814502358436584,0.6010676622390747,0.0035277449060231447,0.11854977160692215,0.7482685446739197,7.47236967086792,0.0010315754916518927,0.07310614734888077,1.0,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.7059981226921082,0.8814502358436584,12.582542419433594
9,1859,0.9259334206581116,0.40472927689552307,0.0024106050841510296,0.07406657934188843,0.5315190553665161,5.303376197814941,0.001181446947157383,0.0407971553504467,2.549999952316284,2.549999952316284,10.0,0.5,1.0,0.8906891942024231,0.5817041993141174,0.003541040699928999,0.10931076109409332,0.7396355867385864,7.382210731506348,0.001414514030329883,0.06716523319482803,1.0,2.5500001907348633,2.5500001907348633,10.0,0.5,1.0,0.7122142314910889,0.8906891942024231,12.497096061706543
