epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4211530089378357,1.8277288675308228,0.0,0.5788469910621643,1.762620210647583,17.109464645385742,0.05167355015873909,0.3675718307495117,3.0,3.0,0.0,0.5,1.0,0.5894802808761597,1.1551848649978638,0.0,0.41051968932151794,0.9957737326622009,9.521292686462402,0.04364456236362457,0.2467782199382782,1.0,3.0,3.0,0.0,0.5,1.0,0.4997881054878235,0.5894802808761597,17.378522872924805
1,371,0.6692978739738464,0.8757747411727905,0.0,0.33070212602615356,0.8008227348327637,7.692506790161133,0.03157208487391472,0.14466114342212677,2.950000047683716,2.950000047683716,0.0,0.5,1.0,0.7328841686248779,0.7841255068778992,0.0,0.26711583137512207,0.823569655418396,7.994417190551758,0.024127895012497902,0.1052248403429985,1.0,2.950000047683716,2.950000047683716,0.0,0.5,1.0,0.6061149835586548,0.7328841686248779,14.040700912475586
2,557,0.8248677253723145,0.5764040350914001,0.0,0.17513225972652435,0.6645770072937012,6.472066879272461,0.01737024262547493,0.068983294069767,2.9000000953674316,2.9000000953674316,0.0,0.5,1.0,0.825852632522583,0.6516159176826477,0.0,0.17414739727973938,0.7726984024047852,7.602388858795166,0.012459448538720608,0.09111928939819336,1.0,2.9000003337860107,2.9000003337860107,0.0,0.5,1.0,0.6680546998977661,0.825852632522583,13.182611465454102
3,743,0.8806834816932678,0.48155027627944946,0.0,0.11931651085615158,0.6186157464981079,6.087714672088623,0.00984429381787777,0.05292587727308273,2.8499999046325684,2.8499999046325684,0.0,0.5,1.0,0.8662846684455872,0.5872316360473633,0.0,0.13371534645557404,0.7717736959457397,7.644922733306885,0.007281445898115635,0.06762947142124176,1.0,2.8499996662139893,2.8499996662139893,0.0,0.5,1.0,0.6966332197189331,0.8662846684455872,12.616449356079102
4,929,0.9013137221336365,0.43604156374931335,0.0,0.0986863449215889,0.5794629454612732,5.733044147491455,0.006158456206321716,0.047623731195926666,2.799999952316284,2.799999952316284,0.0,0.5,1.0,0.8747002482414246,0.5491383671760559,0.0,0.12529976665973663,0.7139297127723694,7.090281009674072,0.0049016037955880165,0.06687380373477936,1.0,2.8000001907348633,2.8000001907348633,0.0,0.5,1.0,0.7067160606384277,0.8747002482414246,11.990596771240234
5,1115,0.9096233248710632,0.42075055837631226,0.0,0.0903766006231308,0.5686743259429932,5.642598628997803,0.004414538387209177,0.04603680595755577,2.75,2.75,0.0,0.5,1.0,0.8826737999916077,0.526669979095459,0.0,0.11732620745897293,0.7020759582519531,6.982970237731934,0.0037789535708725452,0.058305773884058,1.0,2.75,2.75,0.0,0.5,1.0,0.7133045792579651,0.8826737999916077,11.774599075317383
6,1301,0.9154226779937744,0.40342211723327637,0.0,0.0845772922039032,0.5502719879150391,5.468636989593506,0.0034083006903529167,0.04370877519249916,2.700000047683716,2.700000047683716,0.0,0.5,1.0,0.8705456256866455,0.5678204894065857,0.0,0.12945438921451569,0.7105485200881958,7.0757737159729,0.0029711746610701084,0.0830918475985527,1.0,2.700000047683716,2.700000047683716,0.0,0.5,1.0,0.7054169178009033,0.8705456256866455,11.847234725952148
7,1487,0.9192877411842346,0.3952324092388153,0.0,0.080712229013443,0.5442031621932983,5.415857315063477,0.002617428544908762,0.042418546974658966,2.6500000953674316,2.6500000953674316,0.0,0.5,1.0,0.8932808637619019,0.49864503741264343,0.0,0.10671916604042053,0.6746532917022705,6.722637176513672,0.0023895481135696173,0.05459925904870033,1.0,2.6500000953674316,2.6500000953674316,0.0,0.5,1.0,0.7249978184700012,0.8932808637619019,11.16074275970459
8,1673,0.923470139503479,0.38081443309783936,0.0,0.07652990520000458,0.5274919271469116,5.254042625427246,0.0020876796916127205,0.040538545697927475,2.5999999046325684,2.5999999046325684,0.0,0.5,1.0,0.8889660239219666,0.5191734433174133,0.0,0.11103396117687225,0.6922469735145569,6.9053425788879395,0.001712715718895197,0.062016017735004425,1.0,2.5999999046325684,2.5999999046325684,0.0,0.5,1.0,0.7193755507469177,0.8889660239219666,11.505844116210938
9,1859,0.9241845011711121,0.3844045400619507,0.0,0.07581546902656555,0.535027265548706,5.333649158477783,0.0016624047420918941,0.04107539355754852,2.549999952316284,2.549999952316284,0.0,0.5,1.0,0.8912608027458191,0.5301697850227356,0.0,0.10873931646347046,0.7188323736190796,7.171500205993652,0.0016823442419990897,0.062014248222112656,1.0,2.5500001907348633,2.5500001907348633,0.0,0.5,1.0,0.7157359719276428,0.8912608027458191,12.10195255279541
10,2045,0.923120379447937,0.3847305178642273,0.0,0.07687962800264359,0.5329815149307251,5.3134765625,0.0016339150024577975,0.041360121220350266,2.5,2.5,0.0,0.5,1.0,0.8827661871910095,0.5653347373008728,0.0,0.11723382025957108,0.7456350326538086,7.44402551651001,0.0012325026327744126,0.07528334856033325,1.0,2.5,2.5,0.0,0.5,1.0,0.7060522437095642,0.8827661871910095,12.6766939163208
11,2231,0.9283930659294128,0.3676503896713257,0.0,0.07160696387290955,0.5143916606903076,5.132765769958496,0.0011150625068694353,0.03884756937623024,2.450000047683716,2.450000047683716,0.0,0.5,1.0,0.8930899500846863,0.500764012336731,0.0,0.10691007971763611,0.6578407883644104,6.568210124969482,0.001019772025756538,0.06493356078863144,1.0,2.450000047683716,2.450000047683716,0.0,0.5,1.0,0.7291796803474426,0.8930899500846863,10.690469741821289
12,2417,0.9312434196472168,0.3568025529384613,0.0,0.06875661760568619,0.5016940236091614,5.007872104644775,0.0009068237850442529,0.03719888627529144,2.4000000953674316,2.4000000953674316,0.0,0.5,1.0,0.8852518200874329,0.5501739978790283,0.0,0.11474817246198654,0.7273213267326355,7.263948440551758,0.0009265136322937906,0.07176510244607925,1.0,2.4000000953674316,2.4000000953674316,0.0,0.5,1.0,0.7108265161514282,0.8852518200874329,12.262368202209473
