epoch,step,train/beta_eff,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/offset_gain_eff,train/sigma_eff,train/w_bnd_eff,train/w_pts_eff,val/beta_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/offset_gain_eff,val/pt_vis_count,val/sigma_eff,val/w_bnd_eff,val/w_pts_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,162,4.0,0.2905902862548828,2.560380697250366,0.07860582321882248,0.7094097137451172,1.6027116775512695,15.546645164489746,0.04804697260260582,0.5609409809112549,0.5,2.0,0.09999999403953552,0.7999999523162842,4.0,0.3616001009941101,1.9117987155914307,0.05581194534897804,0.6383998990058899,1.0760983228683472,10.239845275878906,0.052113715559244156,0.40693894028663635,0.5,0.9969135522842407,2.0,0.10000000149011612,0.800000011920929,0.3548634350299835,0.3616001009941101,19.005813598632812
1,325,5.0,0.43479329347610474,1.5294616222381592,0.032944802194833755,0.5652067065238953,0.8098503947257996,7.732322692871094,0.03661813959479332,0.3130801022052765,0.5,1.9499998092651367,0.09999999403953552,0.7999999523162842,5.0,0.46812504529953003,1.5267558097839355,0.019161038100719452,0.53187495470047,0.8970036506652832,8.678375244140625,0.029166139662265778,0.27536192536354065,0.5,0.9969135522842407,1.9500000476837158,0.10000000149011612,0.800000011920929,0.437298446893692,0.46812504529953003,15.57161808013916
2,488,6.0,0.56589275598526,1.169795274734497,0.012996138073503971,0.4341072142124176,0.6816197633743286,6.565165996551514,0.025103211402893066,0.18909262120723724,0.5,1.899999976158142,0.09999999403953552,0.7999999523162842,6.0,0.6027605533599854,1.2106947898864746,0.010305041447281837,0.39723941683769226,0.8030521273612976,7.83479118347168,0.019572991877794266,0.16998329758644104,0.5,0.9969135522842407,1.899999976158142,0.10000000149011612,0.800000011920929,0.5305027365684509,0.6027605533599854,13.690171241760254
3,651,7.0,0.6853492259979248,0.9312572479248047,0.007257215678691864,0.3146508038043976,0.6215018630027771,6.051596641540527,0.016342096030712128,0.11867931485176086,0.5,1.8499999046325684,0.09999999403953552,0.7999999523162842,7.0,0.7042245864868164,1.0400164127349854,0.006795222871005535,0.295775443315506,0.7787977457046509,7.653134346008301,0.01348431222140789,0.12052330374717712,0.5,0.9969135522842407,1.850000023841858,0.10000000149011612,0.800000011920929,0.5938366651535034,0.7042245864868164,13.35058307647705
4,814,8.0,0.7713163495063782,0.7870349287986755,0.005209131166338921,0.22868365049362183,0.5922894477844238,5.81584358215332,0.010705101303756237,0.08399876952171326,0.5,1.8000000715255737,0.09999999403953552,0.7999999523162842,8.0,0.7636567950248718,0.9426600933074951,0.006122751627117395,0.23634320497512817,0.7612931728363037,7.518010139465332,0.009492102079093456,0.09667003154754639,0.5,0.9969135522842407,1.7999999523162842,0.10000000149011612,0.800000011920929,0.634668231010437,0.7636567950248718,12.66620922088623
5,977,9.0,0.8235101103782654,0.6915357112884521,0.004634016193449497,0.1764899641275406,0.5592244267463684,5.5166449546813965,0.0075599499978125095,0.06720276921987534,0.5,1.75,0.09999999403953552,0.7999999523162842,9.0,0.8104592561721802,0.9122077226638794,0.005601502023637295,0.18954071402549744,0.8013933300971985,7.947859764099121,0.0066073257476091385,0.0809922069311142,0.5,0.9969135522842407,1.75,0.10000000149011612,0.800000011920929,0.653706431388855,0.8104592561721802,13.890458106994629
6,1140,10.0,0.8579109907150269,0.6364629864692688,0.004207889549434185,0.14208899438381195,0.5451105833053589,5.397647857666016,0.005345780868083239,0.05786477401852608,0.5,1.6999998092651367,0.09999999403953552,0.7999999523162842,10.0,0.8397453427314758,0.8060839772224426,0.005303317215293646,0.16025467216968536,0.7177048325538635,7.132165908813477,0.004488228354603052,0.07113513350486755,0.5,0.9969135522842407,1.7000000476837158,0.10000000149011612,0.800000011920929,0.6867182850837708,0.8397453427314758,11.873329162597656
7,1303,11.0,0.8800482749938965,0.5909223556518555,0.004081654362380505,0.11995170265436172,0.5244214534759521,5.207082748413086,0.003713186364620924,0.051025353372097015,0.5,1.6500000953674316,0.09999999403953552,0.7999999523162842,11.0,0.8504472970962524,0.8685182332992554,0.005119058303534985,0.14955270290374756,0.8074595928192139,8.043088912963867,0.0031507760286331177,0.07248595356941223,0.5,0.9969135522842407,1.649999976158142,0.10000000149011612,0.800000011920929,0.6792914867401123,0.8504472970962524,13.665406227111816
8,1466,12.0,0.8931556940078735,0.5627029538154602,0.003949797712266445,0.10684428364038467,0.5098785758018494,5.068910598754883,0.002987426007166505,0.04756081849336624,0.5,1.5999999046325684,0.09999999403953552,0.7999999523162842,12.0,0.8616527318954468,0.8040199279785156,0.005094488617032766,0.13834726810455322,0.7283105850219727,7.258556842803955,0.002454841509461403,0.08251477777957916,0.5,0.9969135522842407,1.600000023841858,0.10000000149011612,0.800000011920929,0.6972389221191406,0.8616527318954468,12.191736221313477
9,1629,12.0,0.902216911315918,0.5447441935539246,0.0038835422601550817,0.09778308123350143,0.5016666650772095,4.992715358734131,0.0023950557224452496,0.045239437371492386,0.5,1.5499998331069946,0.09999999403953552,0.7999999523162842,12.0,0.8717686533927917,0.8039569854736328,0.0050198910757899284,0.12823134660720825,0.757546067237854,7.554203033447266,0.002125748433172703,0.069186732172966,0.5,0.9969135522842407,1.5499999523162842,0.10000000149011612,0.800000011920929,0.6992015838623047,0.8717686533927917,12.70915699005127
10,1792,12.0,0.9104498624801636,0.5172173380851746,0.003834033152088523,0.08955006301403046,0.48210227489471436,4.802704811096191,0.0018317929934710264,0.04160207509994507,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.875726580619812,0.8107178211212158,0.004858711734414101,0.1242733895778656,0.7704919576644897,7.688919544219971,0.0016000282485038042,0.06956490129232407,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.6990867257118225,0.875726580619812,13.034734725952148
11,1955,12.0,0.9168959259986877,0.504321813583374,0.0038086525164544582,0.08310408890247345,0.476613312959671,4.7508721351623535,0.0015261427033692598,0.039546187967061996,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8774970769882202,0.7630553245544434,0.004905005916953087,0.12250296771526337,0.7136616706848145,7.122708320617676,0.0013908048858866096,0.06913253664970398,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7108038067817688,0.8774970769882202,11.70308780670166
12,2118,12.0,0.9218607544898987,0.48909837007522583,0.003708514617756009,0.0781392902135849,0.4659307599067688,4.645909786224365,0.0013398072915151715,0.037843625992536545,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8762903809547424,0.830138087272644,0.004780488088726997,0.12370963394641876,0.7861268520355225,7.848638534545898,0.0012630308046936989,0.07704894989728928,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.6960840225219727,0.8762903809547424,13.486608505249023
13,2281,12.0,0.9259522557258606,0.4793413579463959,0.0036089394707232714,0.07404766976833344,0.46148157119750977,4.603277206420898,0.001153843360953033,0.03574756905436516,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8796911239624023,0.7973225712776184,0.004683773033320904,0.12030886113643646,0.7511383295059204,7.500956058502197,0.0010426316875964403,0.07563471049070358,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7032621502876282,0.8796911239624023,12.798847198486328
14,2444,12.0,0.9291250705718994,0.4660276472568512,0.0035603446885943413,0.07087492197751999,0.44994479417800903,4.489500522613525,0.0009947275975719094,0.034840893000364304,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8796820640563965,0.7831504344940186,0.0046451822854578495,0.1203179806470871,0.7270165681838989,7.261300563812256,0.0008864580886438489,0.08075468987226486,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.708927571773529,0.8796820640563965,12.085010528564453
15,2607,12.0,0.9313082695007324,0.45933812856674194,0.003522759536281228,0.06869172304868698,0.44530293345451355,4.443502902984619,0.0009526655776426196,0.034051790833473206,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8790189027786255,0.8255922794342041,0.004531985614448786,0.1209811121225357,0.7817503809928894,7.809274673461914,0.0008229242521338165,0.07875759154558182,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.6991826891899109,0.8790189027786255,13.286770820617676
16,2770,12.0,0.9346396327018738,0.4496012032032013,0.0033662787172943354,0.06536033004522324,0.4395221173763275,4.3869123458862305,0.0008308643009513617,0.03228656202554703,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8784887194633484,0.8093777894973755,0.004454459995031357,0.12151128798723221,0.7561436891555786,7.553675174713135,0.000776173546910286,0.08250610530376434,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7026940584182739,0.8784887194633484,12.778938293457031
17,2933,12.0,0.9362543821334839,0.44201135635375977,0.003277983283624053,0.06374561786651611,0.43336954712867737,4.326437473297119,0.0007258040714077652,0.031242340803146362,0.5,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8848991990089417,0.8058772087097168,0.00438409298658371,0.11510081589221954,0.7644743919372559,7.637584209442139,0.0007160109234973788,0.07875841110944748,0.5,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7045885324478149,0.8848991990089417,13.034968376159668
18,3096,12.0,0.9381988644599915,0.4351924955844879,0.0032123751007020473,0.06180107221007347,0.4277105927467346,4.270371437072754,0.0006734451744705439,0.030901750549674034,0.6000000238418579,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8819016814231873,0.8163365125656128,0.004438864067196846,0.11809832602739334,0.7589205503463745,7.583366394042969,0.0005838945508003235,0.09065788984298706,0.6000000238418579,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7036527991294861,0.8819016814231873,12.921086311340332
19,3259,12.0,0.9407914876937866,0.4253738820552826,0.0031334476079791784,0.05920851230621338,0.4209747612476349,4.203676223754883,0.0006071531097404659,0.029072197154164314,0.7000000476837158,1.5,0.09999999403953552,0.7999999523162842,12.0,0.8768705129623413,0.8113771080970764,0.004385050851851702,0.1231294721364975,0.7537717819213867,7.531471252441406,0.0006246292032301426,0.08479171991348267,0.699999988079071,0.9969135522842407,1.5,0.10000000149011612,0.800000011920929,0.7031793594360352,0.8768705129623413,12.591588973999023
