epoch,step,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/sigma_max,train/sigma_min,train/w_bnd_eff,train/w_pts_eff,train/w_seg_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/pt_vis_count,val/sigma_max,val/sigma_min,val/w_bnd_eff,val/w_pts_eff,val/w_seg_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,185,0.4301009774208069,2.032247304916382,0.02459406666457653,0.5698990225791931,1.7113853693008423,16.51669692993164,0.059715598821640015,0.3607150614261627,3.0,3.0,10.0,0.5,1.0,0.5597444176673889,1.2708364725112915,0.009971334598958492,0.4402555823326111,1.0266214609146118,9.988767623901367,0.027744529768824577,0.21755683422088623,1.0,3.0,3.0,10.0,0.5,1.0,0.47757458686828613,0.5597444176673889,18.22308921813965
1,371,0.7193165421485901,0.8324260115623474,0.006692569702863693,0.2806834280490875,0.7439593076705933,7.306441307067871,0.013315295800566673,0.11283721029758453,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.7922735214233398,0.7298440933227539,0.005469704512506723,0.20772644877433777,0.7329447269439697,7.254571914672852,0.007487497292459011,0.10094831138849258,1.0,2.950000047683716,2.950000047683716,10.0,0.5,1.0,0.6541420817375183,0.7922735214233398,12.37411880493164
2,557,0.8553008437156677,0.5659064650535583,0.003690355457365513,0.14469917118549347,0.6442991495132446,6.388663291931152,0.005432796664535999,0.0621541403234005,2.9000000953674316,2.9000000953674316,10.0,0.5,1.0,0.8527905941009521,0.6283228397369385,0.004115308169275522,0.14720945060253143,0.7386010885238647,7.351541996002197,0.003446912160143256,0.07065975666046143,1.0,2.9000003337860107,2.9000003337860107,10.0,0.5,1.0,0.6875067353248596,0.8527905941009521,12.74893856048584
3,743,0.8901737928390503,0.49392691254615784,0.0030188823584467173,0.1098262146115303,0.6025635004043579,5.993788719177246,0.0031846140045672655,0.05263012275099754,2.8499999046325684,2.8499999046325684,10.0,0.5,1.0,0.8765434622764587,0.6017154455184937,0.0037528115790337324,0.12345657497644424,0.7607090473175049,7.588710308074951,0.001837950199842453,0.06037624552845955,1.0,2.8499996662139893,2.8499996662139893,10.0,0.5,1.0,0.6991274356842041,0.8765434622764587,13.094508171081543
4,929,0.9058526158332825,0.4549053907394409,0.002726353704929352,0.09414732456207275,0.5723369121551514,5.703999042510986,0.0019369886722415686,0.04732609912753105,2.799999952316284,2.799999952316284,10.0,0.5,1.0,0.8753588795661926,0.5658239722251892,0.0036616954021155834,0.12464109808206558,0.6911562085151672,6.891002178192139,0.0020559709519147873,0.05898779630661011,1.0,2.8000001907348633,2.8000001907348633,10.0,0.5,1.0,0.7111611366271973,0.8753588795661926,11.51164436340332
5,1115,0.9116030335426331,0.4424130916595459,0.0026363730430603027,0.08839695155620575,0.5629056096076965,5.615140438079834,0.0013915530871599913,0.04619961231946945,2.75,2.75,10.0,0.5,1.0,0.882775604724884,0.5766680240631104,0.0034321423154324293,0.11722436547279358,0.7206461429595947,7.193088054656982,0.001337261637672782,0.06479908525943756,1.0,2.75,2.75,10.0,0.5,1.0,0.7093567252159119,0.882775604724884,12.260392189025879
6,1301,0.9160429239273071,0.43254056572914124,0.002557306783273816,0.08395705372095108,0.5575263500213623,5.56347131729126,0.0011792308650910854,0.044247258454561234,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.8863169550895691,0.5695216059684753,0.003466027555987239,0.11368301510810852,0.7165945172309875,7.152193069458008,0.0013751678634434938,0.06288103759288788,1.0,2.700000047683716,2.700000047683716,10.0,0.5,1.0,0.7131062150001526,0.8863169550895691,12.06092643737793
7,1487,0.9200447797775269,0.41849830746650696,0.002468517981469631,0.07995525747537613,0.5416272282600403,5.4077839851379395,0.0008488031453453004,0.04304426535964012,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.883968710899353,0.5703520178794861,0.0034212234895676374,0.11603126674890518,0.6924501657485962,6.916506290435791,0.0007995485211722553,0.07388351112604141,1.0,2.6500000953674316,2.6500000953674316,10.0,0.5,1.0,0.7167335152626038,0.883968710899353,11.464722633361816
8,1673,0.9215058088302612,0.40850526094436646,0.002424390986561775,0.07849418371915817,0.527158260345459,5.264441013336182,0.0007141079986467957,0.042188044637441635,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.891972005367279,0.5622655749320984,0.0034268894232809544,0.108027882874012,0.7115588784217834,7.108194351196289,0.0007394286221824586,0.0641893520951271,1.0,2.5999999046325684,2.5999999046325684,10.0,0.5,1.0,0.7172737121582031,0.891972005367279,11.967100143432617
9,1859,0.9250586628913879,0.4016594886779785,0.0024001963902264833,0.07494129985570908,0.524575412273407,5.240143299102783,0.0005610555526800454,0.04042850062251091,2.549999952316284,2.549999952316284,10.0,0.5,1.0,0.8875954151153564,0.5684299468994141,0.003444080939516425,0.11240463703870773,0.7091439962387085,7.085769176483154,0.0005670688115060329,0.0670124888420105,1.0,2.5500001907348633,2.5500001907348633,10.0,0.5,1.0,0.7146393656730652,0.8875954151153564,11.968110084533691
10,2045,0.9263503551483154,0.4027038812637329,0.0023488446604460478,0.07364968210458755,0.5308572053909302,5.302163600921631,0.0006408255430869758,0.040137168020009995,2.5,2.5,10.0,0.5,1.0,0.8963913321495056,0.5485885143280029,0.0033567745704203844,0.10360869020223618,0.7044153213500977,7.038275718688965,0.0005877090734429657,0.05920439213514328,1.0,2.5,2.5,10.0,0.5,1.0,0.7200848460197449,0.8963913321495056,11.947866439819336
11,2231,0.9282705783843994,0.3931407034397125,0.0023423342499881983,0.07172945141792297,0.5175788402557373,5.1703667640686035,0.0005421398091129959,0.03919849172234535,2.450000047683716,2.450000047683716,10.0,0.5,1.0,0.8945221304893494,0.5564144253730774,0.0033159288577735424,0.10547777265310287,0.7017304301261902,7.012592792510986,0.00047111549065448344,0.06691212207078934,1.0,2.450000047683716,2.450000047683716,10.0,0.5,1.0,0.7194263339042664,0.8945221304893494,11.892253875732422
12,2417,0.9317612051963806,0.380176305770874,0.002277323743328452,0.06823872029781342,0.5046026706695557,5.042248725891113,0.0003778047685045749,0.03686300292611122,2.4000000953674316,2.4000000953674316,10.0,0.5,1.0,0.8895544409751892,0.5631815791130066,0.0033421004191040993,0.11044561862945557,0.7061393857002258,7.057967185974121,0.0003425996983423829,0.06624527275562286,1.0,2.4000000953674316,2.4000000953674316,10.0,0.5,1.0,0.7164208889007568,0.8895544409751892,11.89522647857666
