epoch,step,train/beta_eff,train/dice,train/loss,train/loss_bnd,train/loss_dice,train/loss_pts,train/loss_pts_coord,train/loss_pts_hm,train/loss_seg,train/offset_gain_eff,train/sigma_eff,train/w_bnd_eff,train/w_pts_eff,val/beta_eff,val/dice,val/loss,val/loss_bnd,val/loss_dice,val/loss_pts,val/loss_pts_coord,val/loss_pts_hm,val/loss_seg,val/offset_gain_eff,val/pt_vis_count,val/sigma_eff,val/w_bnd_eff,val/w_pts_eff,val_balance_score,val_dice_epoch,val_pt_err_px
0,162,4.0,0.35341188311576843,2.831641674041748,0.05709759145975113,0.6465880870819092,2.1442296504974365,20.909915924072266,0.05323806032538414,0.46395984292030334,0.5,2.0,0.09999999403953552,0.7999999523162842,4.0,0.405666708946228,1.7140145301818848,0.011596202850341797,0.594333291053772,0.9387169480323792,9.115630149841309,0.027153894305229187,0.3675479590892792,0.5,0.9969135522842407,2.0,0.10000000149011612,0.800000011920929,0.3949500024318695,0.405666708946228,16.393930435180664
1,325,5.0,0.4836752712726593,1.364365577697754,0.005764789413660765,0.5163246989250183,0.6968642473220825,6.849852561950684,0.01187894493341446,0.2899731397628784,0.5,1.9499998092651367,0.09999999403953552,0.7999999523162842,5.0,0.4887637197971344,1.4791120290756226,0.005328788422048092,0.511236310005188,0.8640002608299255,8.58340072631836,0.005660184193402529,0.2761426270008087,0.5,0.9969135522842407,1.9500000476837158,0.10000000149011612,0.800000011920929,0.4515872895717621,0.4887637197971344,15.263842582702637
2,488,6.0,0.589120090007782,1.0807055234909058,0.004193635657429695,0.410879909992218,0.6070842742919922,6.019796848297119,0.005104623734951019,0.18373873829841614,0.5,1.899999976158142,0.09999999403953552,0.7999999523162842,6.0,0.5950274467468262,1.2291178703308105,0.0052452171221375465,0.4049725830554962,0.7976632118225098,7.937418460845947,0.003921314608305693,0.1854901909828186,0.5,0.9969135522842407,1.899999976158142,0.10000000149011612,0.800000011920929,0.5258888602256775,0.5950274467468262,13.68652629852295
3,651,7.0,0.6827513575553894,0.8953516483306885,0.004022430628538132,0.3172486126422882,0.5677776336669922,5.650475025177002,0.0027301334775984287,0.12347865849733353,0.5,1.8499999046325684,0.09999999403953552,0.7999999523162842,7.0,0.683519184589386,1.1044847965240479,0.005129302851855755,0.316480815410614,0.810725212097168,8.084800720214844,0.002245074138045311,0.13891085982322693,0.5,0.9969135522842407,1.850000023841858,0.10000000149011612,0.800000011920929,0.5765208601951599,0.683519184589386,14.037110328674316
4,814,8.0,0.75905841588974,0.767415463924408,0.003959153778851032,0.24094158411026,0.5459157228469849,5.440474033355713,0.0018682947847992182,0.08934536576271057,0.5,1.8000000715255737,0.09999999403953552,0.7999999523162842,8.0,0.767318844795227,0.9690170288085938,0.005065443925559521,0.23268122971057892,0.7814800143241882,7.7998199462890625,0.0014980151318013668,0.11064520478248596,0.5,0.9969135522842407,1.7999999523162842,0.10000000149011612,0.800000011920929,0.6321812272071838,0.767318844795227,13.28425121307373
5,977,9.0,0.8146694302558899,0.6660116910934448,0.00396391935646534,0.18533053994178772,0.515174925327301,5.1381425857543945,0.0013606441207230091,0.0681447684764862,0.5,1.75,0.09999999403953552,0.7999999523162842,9.0,0.79935622215271,0.9092005491256714,0.005031168460845947,0.20064376294612885,0.7743650078773499,7.732171058654785,0.001147905713878572,0.08856165409088135,0.5,0.9969135522842407,1.75,0.10000000149011612,0.800000011920929,0.6522281765937805,0.79935622215271,13.1730318069458
6,1140,10.0,0.8521778583526611,0.6009582877159119,0.003921608440577984,0.14782214164733887,0.49566489458084106,4.946361541748047,0.0010287418263033032,0.05621204525232315,0.5,1.6999998092651367,0.09999999403953552,0.7999999523162842,10.0,0.8305914998054504,0.8620678186416626,0.005003832746297121,0.16940852999687195,0.7630250453948975,7.6197614669799805,0.001048885635100305,0.0817389190196991,0.5,0.9969135522842407,1.7000000476837158,0.10000000149011612,0.800000011920929,0.6715688705444336,0.8305914998054504,13.092827796936035
7,1303,11.0,0.8785327076911926,0.5622993111610413,0.003884260542690754,0.1214672401547432,0.49056461453437805,4.896267414093018,0.0009378778631798923,0.047991931438446045,0.5,1.6500000953674316,0.09999999403953552,0.7999999523162842,11.0,0.8289662599563599,0.8394208550453186,0.004967748187482357,0.17103372514247894,0.7240676879882812,7.231093406677246,0.0009583550272509456,0.088636115193367,0.5,0.9969135522842407,1.649999976158142,0.10000000149011612,0.800000011920929,0.6783252954483032,0.8289662599563599,12.106098175048828
8,1466,12.0,0.8947141766548157,0.5305190682411194,0.0038107624277472496,0.10528577119112015,0.47609296441078186,4.753289699554443,0.0007639928953722119,0.04397784173488617,0.5,1.5999999046325684,0.09999999403953552,0.7999999523162842,12.0,0.848150372505188,0.8198040723800659,0.0048985532484948635,0.151849627494812,0.7318005561828613,7.310373306274414,0.0007632231572642922,0.08202408999204636,0.5,0.9969135522842407,1.600000023841858,0.10000000149011612,0.800000011920929,0.6890125870704651,0.848150372505188,12.207124710083008
9,1629,12.0,0.9042173624038696,0.5119268298149109,0.00375802768394351,0.0957825630903244,0.46900489926338196,4.6829938888549805,0.0007054998422972858,0.040564537048339844,0.5,1.5499998331069946,0.09999999403953552,0.7999999523162842,12.0,0.86319500207901,0.8335782289505005,0.004917970858514309,0.13680499792099,0.7721832990646362,7.715648651123047,0.0006183526711538434,0.07853484153747559,0.5,0.9969135522842407,1.5499999523162842,0.10000000149011612,0.800000011920929,0.6912287473678589,0.86319500207901,13.079794883728027
